circuit_id,circuit_name,DriverNumber,Position,GridPosition,Q1,Q2,Q3,Points,Laps,Season,Round,AvgQualiTime,AirTemp_C,TrackTemp_C,Humidity_%,Pressure_hPa,WindSpeed_mps,WindDirection_deg,track_length_km,num_corners,num_slow_corners,num_high_speed_corners,clockwise,avg_lap_time_sec,drs_zones,elevation_change_m,full_throttle_pct,avg_speed_kmh,longest_straight_m,is_street_circuit,has_banked_corners,tyre_degradation,overtaking_difficulty,num_race_laps,altitude_m,pit_lane_time_loss_sec,sc_probability_pct,avg_overtakes_per_race,avg_race_temp_c,surface_abrasiveness,track_width_m,typical_pit_stops,umap_x,umap_y,kmeans,hdbscan
11,Red Bull Ring,22.0,10.5,10.5,,,,0.5,70.0,2024.0,11.0,79.123925,29.42587412587413,46.420979020979026,35.00699300699301,934.0156862745096,1.6180124223602483,124.56209150326798,4.318,10.0,2.0,4.0,1.0,65.8,3.0,65.0,77.0,241.0,640.0,0.0,0.0,4.0,2.0,71.0,660.0,21.1,38.0,94.0,23.0,3.0,14.0,2.0,5.227546,4.381882,4,-1
12,Silverstone Circuit,22.0,10.5,10.5,,,,0.5,52.0,2024.0,12.0,102.7314355,17.91741935483871,27.670068027210885,67.33333333333333,992.1265306122448,1.4832258064516128,205.39735099337747,5.891,18.0,3.0,9.0,1.0,88.2,2.0,26.0,64.0,242.0,700.0,0.0,0.0,3.0,2.0,52.0,97.0,27.0,50.0,82.0,19.0,4.0,13.0,2.0,4.4575377,5.491299,5,-1
13,Hungaroring,22.0,10.5,10.5,,,,0.5,69.0,2024.0,13.0,92.161746,28.808536585365857,44.91612903225806,46.92258064516129,981.6767741935486,1.4408536585365852,221.18709677419355,4.381,14.0,7.0,2.0,1.0,78.6,1.0,38.0,57.0,201.0,618.0,0.0,0.0,5.0,4.0,70.0,264.0,20.6,25.0,58.0,27.0,4.0,11.0,2.0,4.9078336,2.9248977,4,-1
14,Circuit de Spa-Francorchamps,22.0,10.5,10.5,,,,0.5,44.0,2024.0,14.0,127.1597515,21.32846715328467,32.72993630573249,57.24203821656051,978.0963503649637,1.6832116788321163,140.98540145985402,7.004,19.0,3.0,9.0,1.0,107.5,2.0,104.0,70.0,236.0,1100.0,0.0,0.0,3.0,3.0,44.0,400.0,18.9,75.0,99.0,18.0,3.0,14.0,2.0,4.0386467,5.412814,5,-1
15,Circuit Zandvoort,22.0,10.5,10.0,,,,0.5,72.0,2024.0,15.0,89.429294,19.00588235294118,27.96352201257861,70.77511961722487,1007.8244019138756,2.8215311004784693,195.1257862,4.259,14.0,4.0,4.0,1.0,73.8,2.0,41.0,60.0,208.0,650.0,0.0,1.0,4.0,4.0,72.0,4.0,22.3,38.0,61.0,19.0,3.0,9.0,2.0,4.479705,3.2127461,4,-1
16,Autodromo Nazionale di Monza,22.5,10.5,10.5,,,,0.5,52.0,2024.0,16.0,95.193564,29.330128205128204,43.28819444444444,42.32051282051282,996.7527777777776,1.518796992481203,184.38194444444449,5.793,11.0,4.0,3.0,1.0,80.9,3.0,16.0,80.0,263.0,1200.0,0.0,0.0,5.0,2.0,53.0,162.0,23.7,50.0,49.0,22.0,5.0,13.0,1.0,5.0416207,5.0134177,3,-1
17,Marina Bay Street Circuit,23.0,10.0,10.0,,,,0.5,51.0,2023.5,16.0,117.388458,28.27511961722488,40.385750598086126,55.02407296605263,1013.3092703349282,1.4836124401913875,146.41836124401914,4.94,19.0,10.0,2.0,0.0,107.5,3.0,11.0,45.0,167.0,550.0,1.0,0.0,4.0,4.0,62.0,5.0,23.9,100.0,50.0,30.0,2.0,10.0,2.0,3.0354626,3.045894,1,-1
18,Circuit of the Americas,22.5,10.5,10.5,,,,0.5,53.0,2023.5,17.0,104.978555,29.03742879746836,39.25793908227848,58.483227848101265,1010.4789596518985,1.3923734177215192,157.000039556962,5.513,20.0,6.0,7.0,0.0,96.3,2.0,41.0,59.0,206.0,1210.0,0.0,0.0,4.0,3.0,56.0,183.0,20.6,29.0,91.0,24.0,4.0,15.0,2.0,2.7291334,4.146875,4,-1
19,Autodromo Hermanos Rodriguez,23.0,10.5,10.5,,,,0.5,56.0,2023.5,18.0,104.1116635,29.792091702170826,41.767005477784544,54.346358287685135,1008.1419375126799,1.1949685534999999,213.73438831405963,4.304,17.0,5.0,4.0,0.0,79.4,3.0,14.0,72.0,195.0,1200.0,0.0,0.0,2.0,3.0,71.0,2240.0,22.4,25.0,67.0,21.0,2.0,14.0,2.0,3.021289,5.2133436,4,-1
20,Autodromo Jose Carlos Pace,22.5,10.5,10.0,,,,0.5,56.0,2023.5,19.0,99.7387,24.92439914645103,38.11554357592094,46.48051437785714,889.4918912848159,2.7326145552560646,199.6225292003594,4.309,15.0,5.0,4.0,0.0,73.0,2.0,30.0,64.0,212.0,740.0,0.0,0.0,4.0,3.0,71.0,800.0,20.8,86.0,69.0,24.0,4.0,13.0,2.0,5.0459538,3.7037573,4,-1
21,Las Vegas Strip Circuit,23.0,10.5,10.0,,,,0.5,69.0,2023.5,20.0,94.70404149999999,23.6050274941084,35.704562712752036,54.40566902447369,852.9886213668499,1.112910448,218.31971721315787,6.201,17.0,6.0,4.0,1.0,99.7,2.0,8.0,72.0,224.0,1900.0,1.0,0.0,2.0,2.0,50.0,634.0,22.5,25.0,68.0,14.0,2.0,18.0,2.0,2.634075,5.537625,2,-1
22,Losail International Circuit,22.5,10.5,10.5,,,,0.5,50.0,2023.5,21.0,96.3286515,19.142642057396152,32.24986625396462,53.017501624059,931.8964270701974,2.1039455080438687,209.72608811953074,5.38,16.0,3.0,7.0,1.0,83.4,2.0,7.0,72.0,232.0,1068.0,0.0,0.0,5.0,3.0,57.0,15.0,26.3,50.0,108.0,31.0,3.0,12.0,2.0,4.4485188,4.911865,0,-1
23,Yas Marina Circuit,22.5,10.5,10.5,,,,1.0,50.0,2023.5,22.0,104.7256185,18.488245033112584,20.383977189109636,52.30638337012509,977.6407407407407,1.9792709099828305,162.99116997792498,5.281,16.0,5.0,4.0,0.0,87.6,3.0,8.0,60.0,217.0,1173.0,0.0,0.0,2.0,2.0,58.0,3.0,21.9,38.0,96.0,27.0,2.0,15.0,2.0,2.5549471,4.7017674,2,-1
24,Baku City Circuit,22.5,10.5,10.5,,,,0.5,58.0,2023.5,23.0,97.488125,26.86553187803188,32.63315142065142,51.22297297297297,1016.1769577269577,1.8477737352737351,210.9848406098406,6.003,20.0,7.0,5.0,0.0,106.0,2.0,12.0,78.0,218.0,2200.0,1.0,0.0,2.0,2.0,51.0,28.0,21.4,75.0,70.0,24.0,2.0,12.0,2.0,3.1019127,6.064007,2,-1
